"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-24","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-25","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-26","0.59",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-27","0.04",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-28","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-29","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-30","0.40",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-01","0.03",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-02","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-03","0.09",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-04","0.23",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-05","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-06","0.04",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-07","0.21",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-08","0.35",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-09","0.19",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-10","0.02",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-11","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-12","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-13","0.02",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-14","0.02",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-15","0.12",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-16","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-17","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-18","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-19","0.13",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-20","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-21","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-07-22","0.00",",,E","0.0",",,E",,,,
